80
-8 8 -1 
-8 4 -1 
-8 1 -1
-7 -2 -1
-8 -4 0
-6 -6 0
-3 -7 -1
-1 -4 -1
1 -6 0
3 -7 0
6 -7 -1
7 -5 -1
6 -1 -1
8 1 0
7 4 0
7 8 0
5 7 -1
2 8 -1
-2 7 -1
-4 8 0

-2 6 0
-6 6 0
-7 4 -1
-5 2 -1
-4 1 -1
-6 -2 0
-6 -4 0
-5 -6 0
-2 -5 0
0 -7 0
3 -6 -1
5 -5 -1
6 -3 -1
4 -2 0
3 -1 0
3 0 0
4 2 -1
6 4 -1
4 6 -1
1 7 -1

-4 7 -1
-6 7 -1
-5 5 -1
-6 2 -1
-5 0 0
-4 -2 -1
-3 -4 -1
-1 -2 -1
0 0 0
2 -2 0
4 -4 -1
6 -5 -1
8 -3 -1
7 -1 -1
7 1 0
5 3 0
4 5 0
2 4 0
-1 3 -1
-2 5 -1

-3 5 0
-5 3 0
-3 2 1
-3 0 1
-5 -2 1
-7 -4 0
-7 -7 0
-5 -7 0
-4 -6 -1
2 -5 -1
5 -2 -1
5 0 -1
7 3 0
6 6 0
5 5 -1
3 7 -1
2 5 0
2 3 0
-1 2 0
-1 5 0
